"event_key","event_name","event_week","event_start_date","event_end_date","event_type","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm52","qm","1","52","frc2340","frc250","frc340","78","","frc2809","frc3157","frc639","53",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm53","qm","1","53","frc1111","frc1450","frc1551","43","","frc3015","frc4505","frc772","96",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm54","qm","1","54","frc156","frc3181","frc4093","2","","frc2265","frc3687","frc578","40",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm55","qm","1","55","frc1591","frc191","frc3173","33","","frc1511","frc174","frc907","20",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm56","qm","1","56","frc1765","frc4508","frc48","56","","frc1518","frc3951","frc451","23",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm57","qm","1","57","frc1405","frc1585","frc888","65","","frc1559","frc3838","frc4023","30",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm58","qm","1","58","frc1126","frc1551","frc4093","44","","frc156","frc3003","frc639","59",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm59","qm","1","59","frc1511","frc2228","frc2265","18","","frc3015","frc340","frc3799","64",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm60","qm","1","60","frc145","frc451","frc907","18","","frc1450","frc174","frc3687","47",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm61","qm","1","61","frc1111","frc1585","frc73","8","","frc191","frc3157","frc48","98",""
