"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm14","qm","1","14","frc1811","frc486","frc56","61","","frc1616","frc1676","frc555","25",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm15","qm","1","15","frc1367","frc1600","frc303","17","","frc1366","frc1689","frc25","22",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm16","qm","1","16","frc1187","frc1813","frc375","53","","frc41","frc88","frc896","0",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm17","qm","1","17","frc1931","frc550","frc637","22","","frc1881","frc219","frc293","14",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm18","qm","1","18","frc1218","frc223","frc225","13","","frc103","frc1156","frc1412","31",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm19","qm","1","19","frc1228","frc1563","frc48","13","","frc1257","frc224","frc522","48",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm20","qm","1","20","frc1279","frc1807","frc87","41","","frc1495","frc1626","frc1882","21",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm21","qm","1","21","frc1048","frc1860","frc613","0","","frc1302","frc335","frc563","26",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm22","qm","1","22","frc102","frc1403","frc1923","42","","frc1811","frc25","frc375","57",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm23","qm","1","23","frc1931","frc381","frc714","11","","frc1366","frc1617","frc486","46",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm24","qm","1","24","frc1813","frc225","frc550","20","","frc1089","frc1382","frc433","8",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm25","qm","1","25","frc1412","frc1563","frc555","0","","frc1367","frc293","frc896","0",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm26","qm","1","26","frc1218","frc1257","frc1626","26","","frc303","frc75","frc869","30",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm27","qm","1","27","frc1495","frc335","frc48","30","","frc1881","frc56","frc88","58",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm28","qm","1","28","frc1807","frc223","frc563","41","","frc1676","frc522","frc528","40",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm29","qm","1","29","frc11","frc1882","frc613","13","","frc1156","frc1187","frc1600","2",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm30","qm","1","30","frc1860","frc224","frc87","33","","frc136","frc1616","frc219","13",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm31","qm","1","31","frc1302","frc1672","frc1689","0","","frc103","frc41","frc637","30",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm32","qm","1","32","frc1048","frc1228","frc1279","33","","frc225","frc25","frc486","137",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm33","qm","1","33","frc1626","frc293","frc48","35","","frc102","frc1813","frc714","26",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm34","qm","1","34","frc1412","frc335","frc528","43","","frc1257","frc1403","frc433","27",""
