"key","number","name","city","state_prov","country","rookie_year"
"frc1566","1566","AMMOKNIGHTS","Idaho Falls","Idaho","USA","2005"
"frc1569","1569","Haywire Robotics","Pocatello","Idaho","USA","2005"
"frc157","157","AZTECHS","Marlborough","Massachusetts","USA","1992"
"frc1571","1571","CALibrate Robotics","Gresham","Oregon","USA","2005"
"frc1572","1572","The Hammer Heads","San Diego","California","USA","2005"
"frc1573","1573","Kfar Galim","Kfar Galim","HaZafon","Israel","2005"
"frc1574","1574","MisCar","Misgav","HaZafon","Israel","2005"
"frc1576","1576","Voltrix","Tel Aviv","Tel-Aviv","Israel","2005"
"frc1577","1577","Steampunk","Raanana","HaMerkaz","Israel","2005"
"frc1580","1580","The Blue Monkeys","Ashkelon","HaDarom","Israel","2005"
"frc1583","1583","Ridge View Academy Rambotics","Watkins","Colorado","USA","2005"
"frc1584","1584","Pirates","Nederland","Colorado","USA","2005"
"frc1585","1585","Scitobor Robotics","Shortsville","New York","USA","2005"
"frc159","159","Alpine Robotics","Fort Collins","Colorado","USA","1998"
"frc1590","1590","Titaniums","Lorain","Ohio","USA","2005"
"frc1591","1591","Greece Gladiators","Rochester","New York","USA","2005"
"frc1592","1592","Bionic Tigers","Cocoa","Florida","USA","2005"
"frc1595","1595","The Dragons","Spokane","Washington","USA","2005"
"frc1596","1596","The Instigators","Sault Sainte Marie","Michigan","USA","2005"
"frc1598","1598","TeamTalon 1598","Danville","Virginia","USA","2005"
"frc1599","1599","CircuiTree","Mechanicsville","Virginia","USA","2005"
"frc16","16","Bomb Squad","Mountain Home","Arkansas","USA","1996"
"frc1600","1600","ROBO KINGS AND QUEENS","Brooklyn","New York","USA","2005"
"frc1601","1601","Quantum Samurai","Long Island City","New York","USA","2005"
"frc1610","1610","⛴ Blackwater Robotics ⛴","Franklin","Virginia","USA","2005"
"frc1619","1619","Up-A-Creek Robotics","Longmont","Colorado","USA","2005"
"frc1622","1622","Team Spyder","Poway","California","USA","2005"
"frc1625","1625","Winnovation","Winnebago","Illinois","USA","2005"
"frc1626","1626","Falcon Robotics","Metuchen","New Jersey","USA","2005"
"frc1629","1629","Garrett Coalition (GaCo)","Accident","Maryland","USA","2005"
"frc1633","1633","RoboBuffs","Tempe","Arizona","USA","2005"
"frc1635","1635","TECHNOTICS","Elmhurst","New York","USA","2005"
"frc1640","1640","Sab-BOT-age","Downingtown","Pennsylvania","USA","2005"
"frc1642","1642","Techno-Cats","Ft. Worth","Texas","USA","2005"
"frc1644","1644","The Robo-Skunks","Los Angeles","California","USA","2005"
"frc1646","1646","Precision Guessworks","Lafayette","Indiana","USA","2005"
"frc1647","1647","Iron Devils","Vincentown","New Jersey","USA","2005"
"frc1648","1648","G3 Robotics","Atlanta","Georgia","USA","2005"
"frc1649","1649","Lakerbotics","Windermere","Florida","USA","2005"
"frc1657","1657","Hamosad","Ein Shemer","Haifa","Israel","2005"
"frc1658","1658","Tech Heads","St. Louis","Missouri","USA","2005"
"frc166","166","Chop Shop","Merrimack","New Hampshire","USA","1995"
"frc1660","1660","Harlem Knights","New York","New York","USA","2005"
"frc1661","1661","Griffitrons","Sherman Oaks","California","USA","2005"
"frc1662","1662","Raptor Force Engineering","Lodi","California","USA","2005"
"frc1665","1665","Weapons of Mass Construction","Hudson","New York","USA","2005"
"frc167","167","Children of the Corn","Iowa City","Iowa","USA","1998"
"frc1671","1671","Buchanan Bird Brains","Clovis","California","USA","2005"
"frc1672","1672","Robo T-Birds","Mahwah","New Jersey","USA","2005"
"frc1675","1675","UPS (Ultimate Protection Squad)","Milwaukee","Wisconsin","USA","2005"
"frc1676","1676","The Pascack PI-oneers","Montvale","New Jersey","USA","2005"
"frc1677","1677","Qunatum Ninjas","Kalamazoo","Michigan","USA","2005"
"frc1678","1678","Citrus Circuits","Davis","California","USA","2005"
"frc1683","1683","Techno Titans","Johns Creek","Georgia","USA","2005"
"frc1684","1684","The Chimeras","Lapeer","Michigan","USA","2005"
"frc1690","1690","Orbit","Binyamina","HaZafon","Israel","2005"
"frc1699","1699","Robocats","Colchester","Connecticut","USA","2005"
"frc1700","1700","Gatorbotics","Palo Alto","California","USA","2005"
"frc1701","1701","RoboCubs","Detroit","Michigan","USA","2005"
"frc1706","1706","Ratchet Rockers","Wentzville","Missouri","USA","2005"
"frc1708","1708","AMP'D Robotics","McKeesport","Pennsylvania","USA","2005"
"frc171","171","Cheese Curd Herd","Platteville","Wisconsin","USA","1995"
"frc1710","1710","The Ravonics Revolution","Olathe","Kansas","USA","2006"
"frc1711","1711","RAPTORS","Traverse City","Michigan","USA","2006"
"frc1712","1712","Dawgma","Ardmore","Pennsylvania","USA","2006"
"frc1714","1714","MORE Robotics","Milwaukee","Wisconsin","USA","2006"
"frc1716","1716","Redbird Robotics","De Pere","Wisconsin","USA","2006"
"frc1718","1718","The Fighting Pi","Armada","Michigan","USA","2006"
"frc1719","1719","The Umbrella Corporation","Baltimore","Maryland","USA","2006"
"frc172","172","Northern Force","Falmouth/Gorham","Maine","USA","1996"
"frc1720","1720","PhyXTGears","Matthews","Indiana","USA","2006"
"frc1721","1721","Tidal Force","Concord","New Hampshire","USA","2006"
"frc1723","1723","The FBI - FIRST Bots of Independence","Independence","Missouri","USA","2006"
"frc1726","1726","N.E.R.D.S. (Nifty Engineering Robotics Design Squad)","Sierra Vista","Arizona","USA","2006"
"frc1727","1727","REX","Lutherville Timonium","Maryland","USA","2006"
"frc1729","1729","Team Inconceivable!","Peterborough","New Hampshire","USA","2006"
"frc173","173","RAGE Robotics ⚙️","Tolland","Connecticut","USA","1995"
"frc1730","1730","Team Driven","Lees Summit","Missouri","USA","2006"
"frc1731","1731","Fresta Valley Robotics Club","Warrenton","Virginia","USA","2006"
"frc1732","1732","Hilltopper Robotics","Milwaukee","Wisconsin","USA","2006"
"frc1735","1735","Green Reapers","Worcester","Massachusetts","USA","2006"
"frc1736","1736","Robot Casserole","Peoria","Illinois","USA","2006"
"frc1737","1737","Project X","Excelsior Springs","Missouri","USA","2006"
"frc1739","1739","Chicago Knights Robotics","Chicago","Illinois","USA","2006"
"frc174","174","Arctic Warriors","Liverpool","New York","USA","1998"
"frc1740","1740","Cyber Colonels","Ledyard","Connecticut","USA","2006"
"frc1741","1741","Red Alert","Greenwood","Indiana","USA","2006"
"frc1742","1742","Shockwave","Norman","Oklahoma","USA","2006"
"frc1743","1743","Short Circuits","Pittsburgh","Pennsylvania","USA","2006"
"frc1744","1744","Robo-Rays Robotics","Naples","Florida","USA","2006"
"frc1745","1745","The P-51 Mustangs","Richardson","Texas","USA","2006"
"frc1746","1746","FC - Team OTTO","Cumming","Georgia","USA","2006"
"frc1747","1747","Harrison Boiler Robotics","West Lafayette","Indiana","USA","2006"
"frc175","175","Buzz Robotics","Enfield","Connecticut","USA","1996"
"frc1750","1750","ThunderStorm Robotics","Stillwater","Oklahoma","USA","2006"
"frc1751","1751","The Warriors","Port Jefferson Station","New York","USA","2006"
"frc1756","1756","Argos","Peoria","Illinois","USA","2006"
"frc1757","1757","Wolverines","Westwood","Massachusetts","USA","2006"
"frc1758","1758","Technomancers","Florence","South Carolina","USA","2006"
"frc1759","1759","Potatoes","El Segundo","California","USA","2006"
"frc176","176","Aces High","Windsor Locks","Connecticut","USA","1996"
"frc1761","1761","STEAMpunk Tigers","Lynn","Massachusetts","USA","2006"
"frc1763","1763","Paséliens","Kansas City","Missouri","USA","2006"
"frc1764","1764","Liberty Robotics","Liberty","Missouri","USA","2006"
"frc1765","1765","E1Bots","Buffalo","New York","USA","2006"
"frc1768","1768","Nashoba Robotics","Bolton","Massachusetts","USA","2006"
"frc1769","1769","Digital Hawks","Kansas City","Kansas","USA","2006"
"frc177","177","Bobcat Robotics","South Windsor","Connecticut","USA","1995"
"frc1771","1771","North Gwinnett Robotics","Suwanee","Georgia","USA","2006"
"frc1772","1772","The Brazilian Trail Blazers","Gravataí","Rio Grande do Sul","Brazil","2006"
"frc1775","1775","Tigerbytes","Kansas City","Missouri","USA","2006"
"frc1777","1777","Viking Robotics","Overland Park","Kansas","USA","2006"
"frc1778","1778","Chill Out","Mountlake Terrace","Washington","USA","2006"
"frc178","178","The 2nd Law Enforcers","Farmington","Connecticut","USA","1997"
"frc1781","1781","Lindblom Electric Eagles","Chicago","Illinois","USA","2006"
"frc1785","1785","Blue Springs Robocats","Blue Springs","Missouri","USA","2006"
"frc1786","1786","The Robotics Team","Dublin","New Hampshire","USA","2006"
"frc1787","1787","The Flying Circuits","Pepper Pike","Ohio","USA","2006"
"frc179","179","Children of the Swamp","Riviera Beach","Florida","USA","1998"
"frc1791","1791","Voyagers","Clayton","New Jersey","USA","2006"
"frc1792","1792","Round Table Robotics","Oak Creek","Wisconsin","USA","2006"
"frc1793","1793","The Aviators","Norfolk","Virginia","USA","2006"
"frc1795","1795","Carver Clutch","Atlanta","Georgia","USA","2006"
"frc1796","1796","RoboTigers","Queens","New York","USA","2006"
"frc1797","1797","Phoenix","London","England","United Kingdom","2006"
"frc1799","1799","Wired-Up!","Littleton","Colorado","USA","2006"
"frc180","180","S.P.A.M.","Stuart","Florida","USA","1998"
"frc1802","1802","Team Stealth","Kansas City","Kansas","USA","2006"
"frc1803","1803","Vikings","Port Washington","New York","USA","2006"
"frc1806","1806","S.W.A.T.","Smithville","Missouri","USA","2006"
"frc1807","1807","Redbird Robotics","Allentown","New Jersey","USA","2006"
"frc181","181","Birds Of Prey","Hartford","Connecticut","USA","1998"
"frc1810","1810","CATATRONICS","Lenexa","Kansas","USA","2006"
"frc1811","1811","FRESH","Newark","New Jersey","USA","2006"
"frc1812","1812","Blackbird Robotics","Allentown","New Jersey","USA","2006"
"frc1815","1815","Black Scots","Toronto","Ontario","Canada","2006"
"frc1816","1816","""The Green Machine""","Edina","Minnesota","USA","2006"
"frc1817","1817","Llano Estacado RoboRaiders","Lubbock","Texas","USA","2006"
"frc1818","1818","Team Talos","Shreveport","Louisiana","USA","2006"
"frc1819","1819","The Quacken","Edmond","Oklahoma","USA","2005"
"frc1822","1822","Electric Calamari","Loveland","Colorado","USA","2006"
"frc1825","1825","The Cyborgs","Kansas City","Missouri","USA","2006"
"frc1827","1827","THE HIVE","Kansas City","Missouri","USA","2006"
"frc1828","1828","BoxerBots","Vail","Arizona","USA","2006"
"frc1829","1829","Carbonauts","Accomack County","Virginia","USA","2006"
"frc1831","1831","Screaming Eagles","Gilford","New Hampshire","USA","2006"
"frc1836","1836","The MilkenKnights","Los Angeles","California","USA","2006"
"frc1846","1846","Le Vortex","Sarnia","Ontario","Canada","2006"
"frc1847","1847","W.R.A.T.H","Kansas City","Kansas","USA","2006"
"frc1850","1850","Mechanicats","Chicago","Illinois","USA","2006"
"frc1860","1860","Alphabots","Sao Jose dos Campos","São Paulo","Brazil","2006"
"frc1868","1868","Space Cookies","Mountain View","California","USA","2006"
"frc1872","1872","Steel Lions","San Juan","Puerto Rico","USA","2006"
"frc1876","1876","Beachbotics","Hilton Head Island","South Carolina","USA","2006"
"frc188","188","Blizzard","Toronto","Ontario","Canada","1998"
"frc1880","1880","Warriors of East Harlem","New York","New York","USA","2006"
"frc1884","1884","Griffins","London","England","United Kingdom","2006"
"frc1885","1885","Comet Robotics","Haymarket","Virginia","USA","2006"
"frc1891","1891","Bullbots","Boise","Idaho","USA","2006"
"frc1895","1895","Lambda Corps","Manassas","Virginia","USA","2006"
"frc1896","1896","Concussive Engineers","Traverse City","Michigan","USA","2006"
"frc1899","1899","Saints Robotics","Bellevue","Washington","USA","2006"
"frc190","190","Gompei and the HERD","Worcester","Massachusetts","USA","1992"
"frc1902","1902","Exploding Bacon","Orlando","Florida","USA","2006"
"frc1908","1908","ShoreBots","Eastville","Virginia","USA","2006"
"frc191","191","X-CATS","Rochester","New York","USA","1992"
"frc1912","1912","Team Combustion","Slidell","Louisiana","USA","2006"
"frc1914","1914","The MidKnight Inventors","Princeton Junction","New Jersey","USA","2006"
"frc1915","1915","MTHS Firebird Robotics","Washington","District of Columbia","USA","2006"
"frc1918","1918","NC GEARS","Fremont","Michigan","USA","2006"
"frc192","192","GRT","Palo Alto","California","USA","1997"
"frc1920","1920","McMain Hurricanes","New Orleans","Louisiana","USA","2006"
