"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","blue1","blue2","blue3","blue_score"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm13","qm","1","13","frc1307","frc133","frc1831","17","frc134","frc1493","frc1547","10"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm14","qm","1","14","frc151","frc1519","frc20","2","frc1153","frc157","frc213","6"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm15","qm","1","15","frc131","frc319","frc95","27","frc1073","frc1517","frc3451","18"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm16","qm","1","16","frc172","frc175","frc3323","12","frc1512","frc716","frc811","43"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm17","qm","1","17","frc2791","frc3585","frc509","3","frc2342","frc238","frc4034","8"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm18","qm","1","18","frc126","frc1307","frc1824","5","frc1058","frc157","frc166","26"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm19","qm","1","19","frc131","frc1922","frc20","11","frc1247","frc133","frc319","7"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm20","qm","1","20","frc1493","frc4403","frc61","13","frc1073","frc175","frc3609","19"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm21","qm","1","21","frc1153","frc134","frc95","25","frc1289","frc3597","frc811","17"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm22","qm","1","22","frc1831","frc3451","frc501","4","frc1277","frc151","frc885","17"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm23","qm","1","23","frc1512","frc1729","frc2791","11","frc1517","frc1547","frc213","11"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm24","qm","1","24","frc172","frc716","frc78","12","frc1721","frc2342","frc3585","9"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm25","qm","1","25","frc138","frc3323","frc3467","17","frc1519","frc4034","frc58","16"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm26","qm","1","26","frc1073","frc157","frc1824","17","frc1277","frc238","frc3609","21"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm27","qm","1","27","frc1289","frc175","frc501","10","frc131","frc133","frc1729","16"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm28","qm","1","28","frc1153","frc1922","frc885","6","frc1493","frc2791","frc716","43"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm29","qm","1","29","frc134","frc166","frc4403","23","frc138","frc2342","frc319","29"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm30","qm","1","30","frc151","frc78","frc95","18","frc1547","frc20","frc3597","17"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm31","qm","1","31","frc213","frc58","frc61","29","frc172","frc509","frc811","9"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm32","qm","1","32","frc126","frc1512","frc1517","17","frc1831","frc3585","frc4034","0"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm33","qm","1","33","frc1519","frc3323","frc3451","16","frc1058","frc1307","frc1721","0"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm34","qm","1","34","frc1247","frc1547","frc885","22","frc157","frc319","frc3467","53"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm35","qm","1","35","frc1493","frc2342","frc95","29","frc1824","frc501","frc61","23"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm36","qm","1","36","frc1153","frc2791","frc58","25","frc126","frc175","frc78","26"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm37","qm","1","37","frc1289","frc1517","frc1721","6","frc166","frc1922","frc3609","16"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm38","qm","1","38","frc133","frc151","frc3585","7","frc1058","frc138","frc509","6"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm39","qm","1","39","frc172","frc3597","frc4034","10","frc1073","frc1247","frc20","10"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm40","qm","1","40","frc131","frc213","frc4403","24","frc1307","frc134","frc3323","23"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm41","qm","1","41","frc1512","frc1831","frc238","8","frc3451","frc3467","frc716","17"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm42","qm","1","42","frc1277","frc1289","frc1729","4","frc1519","frc2342","frc811","35"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm43","qm","1","43","frc157","frc4034","frc78","13","frc133","frc172","frc885","13"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm44","qm","1","44","frc1073","frc1547","frc319","21","frc1153","frc3323","frc509","0"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm45","qm","1","45","frc1307","frc213","frc3585","6","frc1247","frc3467","frc61","51"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm46","qm","1","46","frc1058","frc2791","frc3609","17","frc134","frc1729","frc1831","16"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm47","qm","1","47","frc1517","frc4403","frc716","30","frc126","frc151","frc501","6"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm48","qm","1","48","frc166","frc175","frc238","28","frc138","frc1519","frc95","34"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm49","qm","1","49","frc1824","frc58","frc811","30","frc1922","frc3451","frc3597","15"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm50","qm","1","50","frc1493","frc1512","frc20","9","frc1277","frc131","frc1721","30"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm51","qm","1","51","frc1289","frc1547","frc716","24","frc1058","frc1247","frc4034","0"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm52","qm","1","52","frc1073","frc213","frc2342","19","frc138","frc157","frc885","31"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm53","qm","1","53","frc1153","frc319","frc811","15","frc3467","frc4403","frc501","6"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm54","qm","1","54","frc1519","frc1831","frc509","4","frc131","frc1824","frc78","32"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm55","qm","1","55","frc166","frc20","frc3451","6","frc1493","frc1729","frc3585","18"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm56","qm","1","56","frc1307","frc3597","frc61","8","frc1517","frc238","frc2791","4"
"2012nh","BAE Systems Granite State","2012-03-01","2012-03-03","2012nh_qm57","qm","1","57","frc1721","frc1922","frc3323","19","frc134","frc151","frc175","20"
